Time,Traffic Route,Vehicle Type,Count
08:30,B2D,OGV1,0
08:30,B2D,OGV2,0
08:30,B2D,CDB,0
08:30,B2D,BEB,0
08:30,B2D,OB,0
08:30,B2D,TOT,0
08:30,B2D,PCU,0
08:30,C2A,PCL,0
08:30,C2A,MCL,0
08:30,C2A,CAR,99
08:30,C2A,TAXI,0
08:30,C2A,LGV,7
08:30,C2A,OGV1,0
08:30,C2A,OGV2,0
08:30,C2A,CDB,0
08:30,C2A,BEB,0
08:30,C2A,OB,2
08:30,C2A,TOT,108
08:30,C2A,PCU,110
08:30,C2B,PCL,1
08:30,C2B,MCL,0
08:30,C2B,CAR,146
08:30,C2B,TAXI,0
08:30,C2B,LGV,15
08:30,C2B,OGV1,1
08:30,C2B,OGV2,1
08:30,C2B,CDB,0
08:30,C2B,BEB,0
08:30,C2B,OB,1
08:30,C2B,TOT,165
08:30,C2B,PCU,166.9
08:30,C2D,PCL,1
08:30,C2D,MCL,0
08:30,C2D,CAR,24
08:30,C2D,TAXI,0
08:30,C2D,LGV,1
08:30,C2D,OGV1,0
08:30,C2D,OGV2,0
08:30,C2D,CDB,0
08:30,C2D,BEB,0
08:30,C2D,OB,0
08:30,C2D,TOT,26
08:30,C2D,PCU,25.1
08:30,D2A,PCL,0
08:30,D2A,MCL,0
08:30,D2A,CAR,48
